# data refs from sub_180388170 @ 0x180388170
# addr            name                  f32                       f64
0x0018098B254  aEnvSw                  1.8152402286763473e-19    6.4820873470591e-310
0x0018098B260  aBendLevel              1.7590485935556668e+22    2.0957149027946755e+262
0x0018098B270  aBendRange              1.7590485935556668e+22    5.008814088937065e+223
0x0018098B280  aPwmLevel               1.7393064701606571e-19    5.808204758078293e+180
0x0018098B290  aJuOscSawLev            2689944064.0              2.650263648186777e+92
0x0018098B2A0  aJuOscSqrLev            2689944064.0              2.650263648186777e+92
0x0018098B2B0  aJuOscSubLev            2689944064.0              2.650263648186777e+92
0x0018098B2C0  aDutyTune               7.933117893257351e+34     1.2335579559927572e+224
0x0018098B2D0  aOsc1Mute               3.3098392915320574e-09    9.76072153205947e+252
0x0018098B2E0  aOsc1Level              3.3098392915320574e-09    2.095714603416287e+262
0x0018098B2F0  aOscNoiseLevel          1.926580031595692e-19     8.891899274961041e+247
0x0018098B300  aGrifferSw              2.7560485885555173e+23    2.1952693650542834e-152
0x0018098B310  aLpfCutoff              1.6797820362934584e-19    7.754272782369034e+228
0x0018098B320  aLpfResonance           1.6797820362934584e-19    7.351637252613611e+228
0x0018098B330  aVelocity               7.316096994913604e+28     1.1307188735114378e+277
0x0018098B33C  aEnv12                  3.5860392433306743e-09    2.7261689924467e-310
0x0018098B348  aIntEnv                 2.2230851881577252e-10    1.996402411510815e-306
0x0018098B350  aExtLfoSw               2.0707397762817264e-19    4.665132326752986e-153
0x0018098B360  aGrfBnedSw              1.679847564507609e-19     4.240370216106437e+175
0x0018098B370  aModSens_0              1.662808419370841e-19     1.0626249826418346e+248
0x0018098B37C  aModSw_0                1.662808419370841e-19     4.74374833683104e-310
0x0018098B388  aEnvLevel               1.8152402286763473e-19    5.808204758619611e+180
0x0018098B398  aKcvLevel               1.8148770446886482e-19    5.808204758617022e+180
0x0018098B3A8  aVelocitySens           7.316096994913604e+28     1.1307188735114378e+277
0x0018098B3B8  aVelocityOffset         7.316096994913604e+28     1.1307188735114378e+277
0x0018098B3C8  aCutoffTune             7.565610311585746e+28     1.751509427096353e+97
0x0018098B3D8  aResonanceTune          7.5327346128419525e+28    9.172416818853452e+170
0x0018098B3E8  aPluginSw               1.1589778012705467e+24    2.6776116893057646e+92
0x0018098B3F8  a12dbOctTap             1.3148255734408443e+22    9.415162744355677e+170
0x0018098B408  a18dbOctTap             1.3590977592177472e+22    9.41516274477745e+170
0x0018098B418  a24dbOctTap             1.329611791737427e+22     9.415162744496542e+170
0x0018098B428  aAmpTone                1.7643846476287043e-19    7.3284786791067435e+25
0x0018098B438  aAmpVelocitySen         1.7643846476287043e-19    9.99005205403285e+73
0x0018098B450  aAmpFixVelocity         1.7643846476287043e-19    7.245398030215875e-153
0x0018098B468  aMute                   7.21513274569724e+22      8.40964462e-315
0x0018098B470  aGateSw                 7.21282420052825e+22      5.189920932796436e-307
0x0018098B478  aEnv1Sw                 3.118558966619389e-09     5.189920241589761e-307
0x0018098B480  aEnv2Sw                 1.2474235866477557e-08    5.189920254852235e-307
0x0018098B488  aExtEnvSw               2.0707397762817264e-19    6.654553050718465e-153
0x0018098B498  aHpfCutoff              1.6797815193055756e-19    7.754272782369029e+228
0x0018098B4A8  aHpfSwitch              1.6797815193055756e-19    5.8345723130635634e+252
0x0018098B4B8  aBoostLpfLevel          1.896996346610344e+31     6.513716521528266e+78
0x0018098B4C8  aBoostThruLevel         1.896996346610344e+31     3.673088977217174e+194
0x0018098B4E0  aEnvLevel_0             1.8152402286763473e-19    1.0769446240610146e+26
0x0018098B4F0  aAmpLevel               1.7643846476287043e-19    1.076944623993416e+26
0x0018098B500  aExtNoiseSw             2.0707397762817264e-19    8.891899276346362e+247
0x0018098B510  aVoice01OutputO         4.3061139689605326e+21    1.2820176984126304e-153
0x0018098B528  aVoice23OutputO         4.3061139689605326e+21    1.4317671959062595e-153
0x0018098B540  aVoice45OutputO         4.3061139689605326e+21    1.5815166933998887e-153
0x0018098B558  aVoice67OutputO         4.3061139689605326e+21    1.7312661908935178e-153
